puma,year,mergeid,estimate_black_females,estimate_total_pop,percent_black_only,percent_black_women,quantile_black_women,gini_index,percent_second_mortgage,percent_owner_occupied,percent_renter_occupied,percent_vacant_housing,homeowner_vacancy_rate,rental_vacancy_rate,percent_same_house_1_year,percent_no_plumbing,percent_no_kitchen,percent_overcrowding,avg_household_size,percent_owner_cost_burdent,rent_median_dollars,percent_renter_cost_burden,median_value_home,median_income,percent_below_poverty,percent_units_mortgage,percent_hispanic,percent_white_only,percent_american_indian,percent_asian,percent_hawaiian,percent_other_race,percent_twomore_races,disability_status,total_housing_units,num_renter_occupied,num_owner_occupied,num_total_occupied,percent_born_us,english_prof,percent_college,percent_uninsured,percent_unemployed
3603701,2011,3603701 _ 2011,8349,106558,14.3,7.83516957900861,3,0.4852,14.0,30.7,69.3,8.7,4.7,3.8,88.7,0.7,0.6,2.8,2.43,20.1,1110,39.4,319500,53980,14.1,55.9,45.1,45.5,0.3,4.8,0.1,31.4,3.7,14.348999999999993,45433,28757,12714,41471,62.3,20.3,38.7,11.982999999999985,6.3
3603702,2011,3603702 _ 2011,56929,144403,70.4,39.4236961835973,5,0.4291,14.9,37.5,62.5,7.5,2.1,5.1,91.3,0.8,1.0,2.2,3.01,59.5,1077,47.0,414800,46927,15.4,72.6,20.3,11.6,0.5,2.5,0.0,12.6,2.3,11.124999999999988,51321,29678,17780,47458,56.1,7.7,22.1,14.353333333333333,8.5
3603703,2011,3603703 _ 2011,17630,115784,27.2,15.2266288951841,4,0.4293,13.6,49.0,51.0,6.1,1.0,1.8,90.9,0.8,1.2,0.7,2.46,39.1,1026,36.5,348500,53527,9.8,48.0,32.8,49.0,0.4,2.1,0.0,18.2,3.0,13.975333333333323,48946,23433,22537,45970,76.3,10.2,24.2,9.534666666666665,5.5
3603704,2011,3603704 _ 2011,15386,125976,23.0,12.2134374801549,3,0.45,19.0,30.1,69.9,6.5,1.0,3.2,88.5,0.4,0.8,3.2,2.76,50.9,1055,43.8,453900,45770,16.6,68.0,41.1,35.6,0.4,9.4,0.0,28.4,3.2,13.16899999999996,47577,31071,13398,44469,58.9,21.2,23.2,13.788666666666684,6.4
3603705,2011,3603705 _ 2011,30973,154386,36.4,20.062052258624497,4,0.4847,12.1,7.5,92.5,8.5,8.5,4.5,88.4,0.9,1.0,3.5,2.9,57.3,833,51.1,390100,22068,38.7,69.3,62.3,14.0,0.6,1.1,0.0,44.6,3.1,14.863333333333324,55842,47237,3850,51087,60.8,28.5,9.7,15.490666666666678,8.4
3603706,2011,3603706 _ 2011,14652,122978,21.6,11.9143261396347,3,0.4699,10.7,8.2,91.8,7.7,6.2,3.5,87.2,0.8,1.3,4.9,2.8,39.1,1032,54.7,232700,30866,30.5,69.0,65.3,16.7,0.5,5.4,0.0,52.2,3.6,12.979333333333283,46688,39582,3521,43103,52.4,32.3,15.9,18.17499999999996,8.2
3603707,2011,3603707 _ 2011,24628,132695,34.9,18.559855307283602,4,0.4556,22.6,4.1,95.9,8.0,8.0,3.3,85.9,1.3,1.3,6.4,3.04,60.3,954,52.9,421300,26347,35.6,64.7,66.1,11.1,0.5,1.6,0.1,48.2,3.6,14.865333333333332,46330,40889,1737,42626,53.0,33.0,11.4,18.489666666666665,12.0
3603708,2011,3603708 _ 2011,28210,139338,38.7,20.2457333964891,4,0.4572,18.3,7.0,93.0,6.1,6.2,3.4,88.0,0.9,1.0,5.9,2.93,41.6,946,50.8,241100,26983,34.5,44.9,62.4,14.2,0.7,1.6,0.0,42.4,2.4,14.716333333333296,49811,43475,3281,46756,52.0,35.7,11.1,16.729999999999983,8.4
3603709,2011,3603709 _ 2011,33722,179066,34.5,18.832162442898102,4,0.4612,14.3,20.8,79.2,8.9,1.6,2.5,88.1,0.9,0.9,3.5,2.86,51.2,975,42.5,399600,37888,22.5,67.9,58.3,14.8,0.5,6.6,0.0,38.4,5.2,11.894999999999989,68318,49336,12932,62268,58.5,24.4,16.2,15.194333333333315,5.8
3603710,2011,3603710 _ 2011,28066,153409,35.8,18.294884915487398,4,0.4965,9.8,6.7,93.3,8.2,4.8,5.1,82.1,1.4,1.5,4.0,2.98,45.5,718,46.9,354700,21479,38.6,68.0,69.3,25.6,0.6,0.8,0.0,34.4,2.7,16.76399999999999,50914,43562,3153,46715,59.5,35.6,8.7,17.864000000000043,8.0
