zip,month,year,price_index
10001,Jan,2022,$996K
10001,Dec,2021,$993K
10001,Nov,2021,$992K
10001,Oct,2021,$992K
10001,Aug,2021,$984K
10001,Jul,2021,$977K
10001,Jun,2021,$972K
10001,Apr,2021,$967K
10001,Mar,2021,$964K
10001,Feb,2021,$961K
10001,Jan,2021,$958K
10001,Dec,2020,$959K
10001,Nov,2020,$955K
10001,Oct,2020,$947K
10001,Aug,2020,$944K
10001,Jul,2020,$955K
10001,Jun,2020,$967K
10001,May,2020,$980K
10001,Apr,2020,$987K
10001,Mar,2020,$1.00M
10001,Feb,2020,$1.02M
10001,Jan,2020,$1.05M
10001,Dec,2019,$1.07M
10001,Nov,2019,$1.08M
10001,Oct,2019,$1.09M
10001,Sep,2019,$1.10M
10001,Jul,2019,$1.12M
10001,Jun,2019,$1.12M
10001,May,2019,$1.12M
10001,Apr,2019,$1.13M
10001,Mar,2019,$1.13M
10001,Feb,2019,$1.11M
10001,Jan,2019,$1.08M
10001,Dec,2018,$1.07M
10001,Nov,2018,$1.07M
10001,Oct,2018,$1.09M
10001,Sep,2018,$1.11M
10001,Aug,2018,$1.11M
10001,Jul,2018,$1.08M
10001,May,2018,$1.05M
10001,Apr,2018,$1.03M
10001,Mar,2018,$1.01M
10001,Feb,2018,$992K
10001,Jan,2018,$979K
10001,Dec,2017,$966K
10001,Nov,2017,$953K
10001,Oct,2017,$941K
10001,Sep,2017,$930K
10001,Aug,2017,$923K
10001,Jun,2017,$932K
10001,Apr,2017,$942K
10001,Mar,2017,$954K
10001,Feb,2017,$971K
10001,Nov,2016,$990K
10001,Oct,2016,$987K
10001,Aug,2016,$985K
10001,Jul,2016,$986K
10001,Jun,2016,$987K
10001,May,2016,$988K
10001,Apr,2016,$985K
10001,Mar,2016,$981K
10001,Jan,2016,$991K
10001,Oct,2015,$978K
10001,Sep,2015,$969K
10001,Aug,2015,$962K
10001,Jul,2015,$955K
10001,Jun,2015,$949K
10001,Apr,2015,$933K
10001,Mar,2015,$925K
10001,Feb,2015,$914K
10001,Dec,2014,$891K
10001,Nov,2014,$886K
10001,Oct,2014,$883K
10001,Aug,2014,$869K
10001,Apr,2014,$826K
10001,Mar,2014,$819K
10001,Feb,2014,$807K
10001,Jan,2014,$796K
10001,Dec,2013,$782K
10001,Nov,2013,$772K
10001,Oct,2013,$765K
10001,Sep,2013,$761K
10001,Aug,2013,$755K
10001,May,2013,$734K
10001,Mar,2013,$717K
10001,Feb,2013,$706K
10001,Jan,2013,$697K
10001,Oct,2012,$684K
10001,Aug,2012,$674K
10001,Jul,2012,$675K
10001,Jun,2012,$675K
10001,May,2012,$673K
10001,Mar,2012,$672K
10001,Feb,2012,$676K
10001,Dec,2011,$675K
10001,Jul,2011,$650K
10001,Jun,2011,$648K
10001,Apr,2011,$647K
10001,Mar,2011,$647K
10001,May,2011,$647K
10001,Aug,2011,$654K
10001,Oct,2011,$665K
10001,Nov,2011,$671K
10001,Jan,2012,$677K
10001,Apr,2012,$672K
10001,Sep,2012,$677K
10001,Nov,2012,$688K
10001,Jul,2013,$746K
10001,May,2014,$836K
10001,Jun,2014,$848K
10001,Jul,2014,$860K
10001,Sep,2014,$875K
10001,Jan,2015,$901K
10001,May,2015,$941K
10001,Nov,2015,$989K
10001,Dec,2015,$995K
10001,Sep,2016,$985K
10001,Dec,2016,$988K
10001,Jan,2017,$982K
10001,Aug,2019,$1.11M
10001,May,2021,$970K
10001,Sep,2020,$943K
10001,Feb,2016,$984K
10001,Apr,2013,$727K
10001,Sep,2011,$660K
